brand_name,therapeutic_class
Panadol,Analgesic / Antipyretic
Calpol,Analgesic / Antipyretic
Disprin,NSAID / Antiplatelet
Brufen,NSAID
Ponstan,NSAID
Voren,NSAID
Augmentin,Antibacterial
Flagyl,Antimicrobial
Ciproxin,Fluoroquinolone Antibiotic
Klaricid,Macrolide Antibiotic
Lipitor,Statin / Lipid-Lowering
Glucophage,Antidiabetic
Zestril,ACE Inhibitor
Inderal,Beta Blocker
Norvasc,Calcium Channel Blocker
Lasix,Loop Diuretic
Warfarin,Anticoagulant
Risek,Proton Pump Inhibitor
Ventolin,Bronchodilator
Arinac,Decongestant / Analgesic Combination
Entamizole,Antiamoebic / Antibacterial Combination
